adminN10 | is_active: True | TrangThai: True | trang_thai: ACTIVE
sales2 | is_active: True | TrangThai: True | trang_thai: ACTIVE
truongphongkd | is_active: True | TrangThai: True | trang_thai: ACTIVE
ketoan | is_active: True | TrangThai: True | trang_thai: ACTIVE
nhansu | is_active: True | TrangThai: True | trang_thai: ACTIVE
sales1 | is_active: True | TrangThai: True | trang_thai: ACTIVE
nv1 | is_active: True | TrangThai: True | trang_thai: ACTIVE
nv2 | is_active: True | TrangThai: True | trang_thai: ACTIVE
nv3 | is_active: True | TrangThai: True | trang_thai: ACTIVE
nhatanh | is_active: True | TrangThai: True | trang_thai: ACTIVE
vquyen | is_active: True | TrangThai: True | trang_thai: ACTIVE
dieuhanh | is_active: True | TrangThai: True | trang_thai: ACTIVE
nynguyen | is_active: True | TrangThai: True | trang_thai: ACTIVE
kdung | is_active: True | TrangThai: True | trang_thai: ACTIVE
giamdoc | is_active: True | TrangThai: True | trang_thai: INACTIVE
